epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.4044,2.26551,3.3837,1.68463,0.0035,0.57399,0.19753,0.09803,1.84289,3.9442,1.38569,0.000548633,0.000548633,0.000548633
2,106.495,2.04853,2.07624,1.53027,0.76646,0.50238,0.60745,0.29669,1.85586,2.23348,1.45181,0.00108243,0.00108243,0.00108243
3,146.607,2.0137,1.68717,1.48916,0.57764,0.46007,0.39234,0.15776,2.04666,3.29322,1.6082,0.00159423,0.00159423,0.00159423
4,186.204,2.00321,1.55234,1.49717,0.84189,0.62428,0.71746,0.32127,1.98535,1.40235,1.44495,0.00156798,0.00156798,0.00156798
5,226.06,1.94866,1.38954,1.45231,0.8182,0.71503,0.78273,0.3961,1.69955,1.21409,1.34572,0.00153497,0.00153497,0.00153497
6,266.03,1.92674,1.32514,1.43965,0.76644,0.69154,0.75669,0.36429,1.87333,1.20284,1.40969,0.00150197,0.00150197,0.00150197
7,306.311,1.87455,1.24119,1.39473,0.8661,0.68312,0.7955,0.41022,1.68684,1.22386,1.32353,0.00146896,0.00146896,0.00146896
8,345.943,1.85983,1.21993,1.40468,0.81782,0.70159,0.78589,0.37957,1.80512,1.13568,1.35943,0.00143595,0.00143595,0.00143595
9,384.786,1.84364,1.16923,1.38064,0.84645,0.7679,0.8221,0.42755,1.6788,0.99699,1.27407,0.00140295,0.00140295,0.00140295
10,425.119,1.80306,1.12805,1.35333,0.8894,0.71017,0.81836,0.41777,1.71071,1.03794,1.32105,0.00136994,0.00136994,0.00136994
11,463.718,1.78946,1.11054,1.36381,0.91836,0.70168,0.83439,0.40688,1.79071,1.05211,1.34547,0.00133693,0.00133693,0.00133693
12,503.551,1.79446,1.09823,1.35224,0.85042,0.72574,0.80269,0.36601,1.92331,0.98289,1.37287,0.00130393,0.00130393,0.00130393
13,543.347,1.77406,1.06493,1.35039,0.91286,0.75665,0.83132,0.44298,1.6581,0.89072,1.26347,0.00127092,0.00127092,0.00127092
14,581.899,1.75465,1.06836,1.33061,0.83237,0.75092,0.8338,0.43968,1.65535,0.92994,1.27133,0.00123791,0.00123791,0.00123791
15,621.272,1.71505,1.01657,1.31501,0.92951,0.76752,0.8515,0.44151,1.65964,0.88839,1.2526,0.00120491,0.00120491,0.00120491
