epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.628,2.10061,5.61626,0.9278,0.00159,0.08686,0.04386,0.02701,1.95676,4.95099,0.84874,0.000299349,0.000299349,0.000299349
2,279.296,1.94929,3.45041,0.86564,0.32381,0.20915,0.17148,0.09528,1.96326,3.01225,0.85198,0.000590423,0.000590423,0.000590423
3,400.104,1.89551,2.72483,0.86484,0.41177,0.25171,0.22179,0.11797,1.98513,2.57259,0.87326,0.000869498,0.000869498,0.000869498
4,518.577,1.86942,2.2526,0.85312,0.35894,0.23945,0.21973,0.12344,1.92659,2.24701,0.86603,0.000855005,0.000855005,0.000855005
5,638.257,1.85569,1.84984,0.84917,0.49418,0.30153,0.27688,0.15308,1.84127,1.88787,0.85289,0.000837007,0.000837007,0.000837007
6,759.185,1.77051,1.62874,0.85216,0.49918,0.32035,0.30318,0.1657,1.84732,1.71139,0.84846,0.000819009,0.000819009,0.000819009
7,880.65,1.7419,1.50534,0.84123,0.51946,0.32781,0.32384,0.17569,1.85872,1.60899,0.85303,0.000801011,0.000801011,0.000801011
8,999.909,1.77532,1.45961,0.8407,0.59021,0.31531,0.33173,0.18666,1.76934,1.57615,0.84136,0.000783013,0.000783013,0.000783013
9,1119.06,1.69078,1.36737,0.84108,0.57914,0.34046,0.34656,0.19301,1.77179,1.51519,0.82989,0.000765014,0.000765014,0.000765014
10,1236.57,1.72089,1.32759,0.82883,0.57779,0.355,0.35136,0.19456,1.72957,1.39844,0.83898,0.000747016,0.000747016,0.000747016
11,1355.88,1.72906,1.31635,0.82795,0.61867,0.34934,0.36453,0.21042,1.73154,1.44956,0.83891,0.000729018,0.000729018,0.000729018
12,1473.66,1.66053,1.23267,0.83683,0.59216,0.33867,0.3654,0.20386,1.72656,1.34837,0.83007,0.00071102,0.00071102,0.00071102
13,1591.5,1.62166,1.19383,0.83529,0.59851,0.35537,0.36969,0.21521,1.6642,1.39883,0.82944,0.000693022,0.000693022,0.000693022
14,1707.95,1.63319,1.18213,0.8204,0.64165,0.34493,0.38268,0.21785,1.69282,1.41568,0.82709,0.000675023,0.000675023,0.000675023
15,1826.58,1.61779,1.15425,0.81886,0.61151,0.38549,0.39398,0.22354,1.64752,1.27664,0.82315,0.000657025,0.000657025,0.000657025
16,1946.72,1.62573,1.14404,0.81521,0.69124,0.34986,0.38789,0.21683,1.70845,1.28096,0.82793,0.000639027,0.000639027,0.000639027
17,2065.71,1.60417,1.13244,0.82472,0.61696,0.37397,0.39684,0.23096,1.63953,1.24458,0.81744,0.000621029,0.000621029,0.000621029
18,2186.75,1.62114,1.11917,0.81938,0.69521,0.35595,0.40264,0.23452,1.6273,1.27184,0.82259,0.000603031,0.000603031,0.000603031
19,2311.33,1.56,1.0697,0.81191,0.64005,0.38146,0.41069,0.23606,1.66114,1.24474,0.8251,0.000585032,0.000585032,0.000585032
20,2431.45,1.56977,1.05679,0.80759,0.64723,0.37168,0.39559,0.22587,1.65808,1.27314,0.82181,0.000567034,0.000567034,0.000567034
21,2553.86,1.55051,1.04106,0.81055,0.68003,0.36088,0.40857,0.24358,1.63097,1.21318,0.82491,0.000549036,0.000549036,0.000549036
22,2675.32,1.5498,1.03127,0.80615,0.69181,0.36136,0.40567,0.23974,1.59465,1.22352,0.81942,0.000531038,0.000531038,0.000531038
23,2796.64,1.52403,1.01196,0.81177,0.63737,0.37921,0.40491,0.22267,1.6973,1.24038,0.82341,0.00051304,0.00051304,0.00051304
24,2918.63,1.52419,1.00944,0.80915,0.67262,0.36661,0.41268,0.23736,1.62863,1.21454,0.81976,0.000495041,0.000495041,0.000495041
25,3039.21,1.54716,1.03637,0.8137,0.6589,0.39279,0.42529,0.24281,1.61059,1.14351,0.8183,0.000477043,0.000477043,0.000477043
26,3160.33,1.50695,0.9769,0.8064,0.68572,0.38435,0.43191,0.25349,1.59004,1.16303,0.81551,0.000459045,0.000459045,0.000459045
27,3286.35,1.52816,0.97806,0.80494,0.66849,0.37046,0.41163,0.24005,1.60501,1.21836,0.81726,0.000441047,0.000441047,0.000441047
28,3411.63,1.52551,0.97884,0.80773,0.66512,0.38364,0.42875,0.24591,1.58106,1.12422,0.81502,0.000423049,0.000423049,0.000423049
29,3535.2,1.49916,0.96916,0.8048,0.74344,0.36706,0.4171,0.24848,1.56575,1.17432,0.81456,0.00040505,0.00040505,0.00040505
30,3658.24,1.46788,0.9291,0.81089,0.7032,0.38943,0.42774,0.2487,1.57087,1.16859,0.81253,0.000387052,0.000387052,0.000387052
31,3781.77,1.48074,0.93769,0.79848,0.65351,0.3817,0.42293,0.25115,1.58312,1.19304,0.8131,0.000369054,0.000369054,0.000369054
32,3907.73,1.48983,0.94101,0.80457,0.66058,0.39213,0.42124,0.25051,1.55972,1.1874,0.81041,0.000351056,0.000351056,0.000351056
33,4027.47,1.47723,0.90559,0.80168,0.6472,0.38067,0.4148,0.24174,1.57122,1.16001,0.82172,0.000333058,0.000333058,0.000333058
34,4147.62,1.4533,0.88566,0.79492,0.67499,0.38855,0.43127,0.2585,1.54479,1.1296,0.81089,0.000315059,0.000315059,0.000315059
35,4268.91,1.45767,0.89579,0.79992,0.69819,0.39226,0.43595,0.25578,1.55965,1.11646,0.81289,0.000297061,0.000297061,0.000297061
36,4388.27,1.44152,0.88625,0.79708,0.71173,0.38397,0.43154,0.25173,1.55851,1.14296,0.81204,0.000279063,0.000279063,0.000279063
37,4507.33,1.41689,0.85314,0.80131,0.7063,0.39765,0.434,0.25337,1.53418,1.13604,0.8096,0.000261065,0.000261065,0.000261065
38,4626.17,1.43272,0.87046,0.79768,0.69676,0.40511,0.43655,0.26178,1.51536,1.12803,0.8089,0.000243067,0.000243067,0.000243067
39,4746.31,1.40185,0.8324,0.79263,0.71264,0.39206,0.44211,0.25883,1.52246,1.10766,0.80572,0.000225068,0.000225068,0.000225068
40,4866.7,1.38151,0.83154,0.79674,0.66896,0.39344,0.4322,0.25889,1.5107,1.13903,0.8046,0.00020707,0.00020707,0.00020707
41,4991.81,1.36621,0.82272,0.80192,0.70998,0.38994,0.4295,0.24797,1.5711,1.13621,0.81281,0.000189072,0.000189072,0.000189072
42,5108.2,1.35774,0.80798,0.7979,0.70567,0.40049,0.43334,0.25623,1.52883,1.11544,0.80685,0.000171074,0.000171074,0.000171074
43,5224,1.33771,0.78888,0.79584,0.68397,0.39736,0.42744,0.25248,1.53451,1.13574,0.80996,0.000153076,0.000153076,0.000153076
